Unnamed: 0,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
141105,opel,Opel Meriva,grey,12/2009,2009,3550,77,105,Automatic,Petrol,"6,7 l/100 km",161 g/km,132000.0,"Innovation ""110 Jahre"""
190572,skoda,Skoda Yeti,black,03/2013,2013,8350,77,105,Manual,Petrol,"6,6 l/100 km",154 g/km,125000.0,Active Plus Edition|2.Hand|S.Heft|Klima
239573,volkswagen,Volkswagen Golf,black,05/2019,2019,18875,110,150,Manual,Diesel,"5,2 l/100 km",135 g/km,62048.0,"VII Join 2.0 TDI SCR ""NAVI,ACC"""
186868,seat,SEAT Arona,red,07/2022,2022,23990,81,110,Manual,Petrol,"4,8 l/100 km",109 g/km,20.0,"1,0 TSI FR - LAGER 81 kW (110 PS), Schaltgetriebe"
163560,peugeot,Peugeot 2008,black,12/2022,2022,32990,100,136,Automatic,Electric,460 km (Ort),331 km Reichweite,2560.0,Elektro GT
219480,volkswagen,Volkswagen Passat,blue,10/2009,2009,5100,90,122,Manual,Petrol,"5,9 l/100 km",138 g/km,218000.0,Comfortline TSI BlueMotion Lim. (3C2)
176305,renault,Renault Clio,orange,03/2022,2022,19989,67,91,Manual,Petrol,"5,1 l/100 km",117 g/km,14330.0,BUSINESS EDITION TCe 90 NAVI PDC KLIMA SHZ
26850,bmw,BMW 525,black,11/2008,2008,11000,145,197,Automatic,Diesel,"6,9 l/100 km",200 g/km,158000.0,d Lim. (E60) LCI
32039,bmw,BMW 428,blue,08/2014,2014,18900,180,245,Automatic,Petrol,"6,8 l/100 km",159 g/km,82800.0,428i Coupe xDrive Aut. Luxury Line
233289,volkswagen,Volkswagen Sharan,blue,06/2017,2017,25790,110,150,Manual,Diesel,"5,1 l/100 km",132 g/km,86900.0,2.0D Comfortline | Navi | AHK | 7-Sitzer
2369,audi,Audi A6,grey,11/2004,2004,5450,125,170,Manual,Petrol,"9,9 l/100 km",238 g/km,255000.0,2.4
118093,mercedes-benz,Mercedes-Benz S 350,black,10/2016,2016,43880,190,258,Automatic,Diesel,"5,7 l/100 km",149 g/km,136000.0,Panorama*TV*Standheizung*Softclose*Vollaustattung
216633,volkswagen,Volkswagen Golf,blue,06/2006,2006,2990,103,140,Manual,Diesel,"5,4 l/100 km",146 g/km,211000.0,V Lim. Sportline-TÜV12/23-GUTE ZUSTAND
12896,audi,Audi A5,blue,09/2017,2017,25799,185,252,Automatic,Petrol,"6,3 l/100 km",144 g/km,87000.0,2.0 TFSI Coupe Aut. LED~KAMERA~LEDER BRAUN~
162772,peugeot,Peugeot Rifter,grey,03/2021,2021,20990,96,131,Manual,Diesel,"4,3 l/100 km",112 g/km,80805.0,BlueHDI 130 L1 Allure
165772,porsche,Porsche Macan,white,06/2015,2015,41900,190,258,Automatic,Diesel,"6,3 l/100 km",167 g/km,160000.0,S Diesel *SPORT*PANO*TOTW*SITZKLIMA*KAMERA
29664,bmw,BMW 530,black,08/2011,2011,15900,180,245,Automatic,Diesel,"6,9 l/100 km",183 g/km,137000.0,530d xDrive Gran Turismo
149754,opel,Opel Astra,black,11/2018,2018,15900,110,150,Manual,Diesel,"4,8 l/100 km",136 g/km,88285.0,K INNOVATION 1.6 BiTurbo CDTI  SHZ/CAM/LHZ
105556,mercedes-benz,Mercedes-Benz C 200,silver,09/2005,2005,7990,90,122,Automatic,Diesel,"6,9 l/100 km",180 g/km,133000.0,7G-TRONIC Elegance mit LPG-Autogas
167127,porsche,Porsche 991,silver,03/2018,2018,169990,368,500,Manual,Petrol,"12,9 l/100 km",290 g/km,14182.0,(911) GT3 Clubsport SportChrono 90l Bose Lift
69606,ford,Ford Focus,red,09/2019,2019,29200,206,280,Manual,Petrol,"7,9 l/100 km",179 g/km,33500.0,ST 5-türig
68750,ford,Ford Fiesta,blue,09/2019,2019,15500,74,101,Manual,Petrol,,- (g/km),7035.0,1.0 EcoBoost S&S TREND
205744,toyota,Toyota Verso,grey,07/2009,2009,9800,108,147,Automatic,Petrol,7 l/100 km,164 g/km,199900.0,Executive+ 7-Sitzer+RFK+XENON+SHZ+
